"Item Name","Purchase Link","Quantity","Price per Unit","Total"
"LCD HDMI 7 inch 800x480 Capacitive Touch Screen","https://www.ram-e-shop.com/shop/lcd-hdmi-7-lcd-hdmi-7-inch-800x480-capacitive-touch-screen-7048?srsltid=AfmBOorUe2tKtcn4JbvP1ZTpSPSQzv_4OBrRmaJJUFSKj4mR9VUcvmev","1","$61.41","$61.41"
"Rassberry Pi 4","https://www.cytron.io/p-raspberry-pi-4-model-b-4gb?currency=USD&src=raspberrypi&__cf_chl_f_tk=1gVJC0yFA_oNHxKh2gmH2fEgdigKqShx7tK3YobdYoE-1783374661-1.0.1.1-hMaFJiEW5raPlFIFSo6CefCfJgAvDq53L9vreoigOKs","1","$100","$100"
"4-Channel Wireless Relay Module ESP-12F (RM4W)","https://fares-pcb.com/product/4-channel-wireless-relay-module-esp-12f-rm4w/","5","$6.14","$30.71"
"AM-2320 Temperature & Humidity","https://www.ram-e-shop.com/shop/sen-am2320-am-2320-temperature-humidity-calibrated-sensor-asair-r-original-brand-7776","4","$3.58","$14.32"
"PIR Motion Sensor Module HC-SR501","https://www.ram-e-shop.com/shop/kit-pir-module-pir-motion-sensor-module-hc-sr501-6673?srsltid=AfmBOooSD9HVb-FVRD6JP8KHQoaQlhenYvKXd5C95F_AjBWc5ugerphb","2","$1.02","$2.04"
"TCA9548APWR I2C 8 channels bus multiplexer TSSOP24","https://uge-one.com/product/tca9548apwr-i2c-8-channels-bus-multiplexer-tssop24/?srsltid=AfmBOooYz3AQkDL3NkKblc4A5gbOHgHDWNGNuuuX1uyoCiN8VXJXbU7l","1","$1.74","$1.74"
"Chip Resistor SMD 10Ω ±1% 62.5mW ±100ppm/℃ 0402","https://makerselectronics.com/product/chip-resistor-smd-10%cf%89-%c2%b11-62-5mw-%c2%b1100ppm-%e2%84%83-0402/","11","$0.002","$0.022"
"B4B-XH-A JST XH Data Terminal Male 4 Pin Connector Header 2.5mm","https://makerselectronics.com/product/b4b-xh-a-jst-xh-4-pin-header-2-5mm/","5","$0.012","$0.06"
"B3B-XH-A JST XH Data Terminal Male 3 Pin Connector Header 2.5mm","https://makerselectronics.com/product/b3b-xh-a-jst-xh-3-pin-header-2-5mm/","2","$0.01","$0.02"
"Data Cable JST 3 Pin 2.54mm 26AWG 25cm One Side Terminal","https://makerselectronics.com/product/data-cable-3-pin-25cm-one-side/","2","$0.17","$0.34"
"PHR-4 JST PH Connector Housing Female 4 Pin 2mm with 20cm Terminal Cable","https://makerselectronics.com/product/phr-4-jst-ph-housing-4-2mm-20cm-cable/","5","$0.1","$0.5"
"PCB (JLCPCB)","https://cart.jlcpcb.com/","5","$0.4","$2"
"E-POST(JLCPCB)","https://cart.jlcpcb.com/","1","$13.6","$13.6"
"3D prints","Local Vendor (Printfy-eg)","1","$33.8","$33.8"
"NeoPixel Stick 8-bit WS2812 5050 RGB LED Driver Development Board","https://www.ram-e-shop.com/shop/kit-ws2812-8-5050-strip-neopixel-stick-8-bit-ws2812-5050-rgb-led-driver-development-board-8257?srsltid=AfmBOoq2-D_xbTO2GzUTi27TZwHegidSzl2b0Z84DDxABTQgCfJVlCOd","3","$1","$3"
"M3 & M2 Screws","https://uge-one.com/?product_cat=&s=M3+screw&post_type=product","18","$0.05","$1"
"M3 & M2 Inserts","https://uge-one.com/?product_cat=&s=M3+screw&post_type=product","18","$0.05","$1"
"USB Small Microphone","https://ar.aliexpress.com/item/1005005364449092.html?spm=a2g0o.productlist.main.3.5dff5b1cPDhfSt&algo_pvid=a4202c5b-f152-4748-b57b-737da53ad29c&algo_exp_id=a4202c5b-f152-4748-b57b-737da53ad29c-2&pdp_ext_f=%7B%22order%22%3A%22810%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EGP%21288.94%2153.27%21%21%215.37%210.99%21%402101590d17835041732383886e3d82%2112000032749797222%21sea%21EG%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2e304f5e%3Bm03_new_user%3A-29895%3BpisId%3A5000000207410332&curPageLogUid=CMNS0Bh3jwOQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005364449092%7C_p_origin_prod%3A","1","$1","$1"
"TOTAL","~~~~","~~~~","~~~~","$266.56 (THE PI IS HELL)"
